alpha,cash,dix,gamma,i_value,index,p_value,simrun,time,
,,,,,,,,,
0.1,199,13712,0.1,1003910333,SP500_50,1003910134,1,1464159600,
,,,,,,,,,
0.1,296,13713,0.1,1009741946,SP500_50,1009741649,1,1464246000,
,,,,,,,,,
0.1,393,13714,0.1,1015992643,SP500_50,1015995370,1,1464332400,
,,,,,,,,,
0.1,4402452,13715,0.1,1021035602,SP500_50,1016670204,1,1464678000,
,,,,,,,,,
0.1,4402531,13716,0.1,1010669864,SP500_50,1006450179,1,1464764400,
,,,,,,,,,
0.1,4402616,13717,0.1,1015741578,SP500_50,1011355542,1,1464850800,
,,,,,,,,,
0.1,8404,13718,0.1,1021668863,SP500_50,1021569802,1,1464937200,
,,,,,,,,,
0.1,30362064,13719,0.1,1021273527,SP500_50,991003479,1,1465196400,
,,,,,,,,,
0.1,30362018,13720,0.1,1036521745,SP500_50,1006155455,1,1465282800,
,,,,,,,,,
0.1,34726285,13721,0.1,1035162355,SP500_50,1000717644,1,1465369200,
,,,,,,,,,
0.1,68883372,13722,0.1,1041438408,SP500_50,972717829,1,1465455600,
,,,,,,,,,
0.1,68883346,13723,0.1,1050085252,SP500_50,982059420,1,1465542000,
,,,,,,,,,
0.1,68883361,13724,0.1,1046369896,SP500_50,979362911,1,1465801200,
,,,,,,,,,
0.1,68883310,13725,0.1,1051959455,SP500_50,985468014,1,1465887600,
,,,,,,,,,
0.1,68883466,13726,0.1,1050150211,SP500_50,982997055,1,1465974000,
,,,,,,,,,
0.1,30199574,13727,0.1,1058579726,SP500_50,1029637630,1,1466060400,
,,,,,,,,,
0.1,69196537,13728,0.1,1064808789,SP500_50,996854272,1,1466146800,
,,,,,,,,,
0.1,31325592,13729,0.1,1065790689,SP500_50,1035208976,1,1466406000,
,,,,,,,,,
0.1,31325592,13730,0.1,1073267838,SP500_50,1042091728,1,1466492400,
,,,,,,,,,
0.1,31325611,13731,0.1,1075145742,SP500_50,1044440136,1,1466578800,
,,,,,,,,,
0.1,31325634,13732,0.1,1089383783,SP500_50,1058125994,1,1466665200,
,,,,,,,,,
0.1,31325788,13733,0.1,1079064330,SP500_50,1048871065,1,1466751600,
,,,,,,,,,
0.1,31325740,13734,0.1,1085109181,SP500_50,1057007558,1,1467010800,
,,,,,,,,,
0.1,29113877,13735,0.1,1088559790,SP500_50,1060978801,1,1467097200,
,,,,,,,,,
0.1,17197782,13736,0.1,1099368381,SP500_50,1082878508,1,1467183600,
,,,,,,,,,
0.1,29371958,13737,0.1,1116241341,SP500_50,1087223655,1,1467270000,
,,,,,,,,,
0.1,29371958,13738,0.1,1123711211,SP500_50,1094339401,1,1467356400,
,,,,,,,,,
0.1,29371958,13739,0.1,1123262929,SP500_50,1094286468,1,1467702000,
,,,,,,,,,
0.1,119991,13740,0.1,1124788981,SP500_50,1124735617,1,1467788400,
,,,,,,,,,
0.1,30148181,13741,0.1,1106884386,SP500_50,1077291608,1,1467874800,
,,,,,,,,,
0.1,30148181,13742,0.1,1117579158,SP500_50,1087060484,1,1467961200,
,,,,,,,,,
0.1,30148181,13743,0.1,1116676548,SP500_50,1086155965,1,1468220400,
,,,,,,,,,
0.1,30148181,13744,0.1,1113231010,SP500_50,1081994703,1,1468306800,
,,,,,,,,,
0.1,30148181,13745,0.1,1121626031,SP500_50,1090437194,1,1468393200,
,,,,,,,,,
0.1,30148223,13746,0.1,1123389882,SP500_50,1091642770,1,1468479600,
,,,,,,,,,
0.1,30148223,13747,0.1,1125202153,SP500_50,1093319945,1,1468566000,
,,,,,,,,,
0.1,30148194,13748,0.1,1125120030,SP500_50,1093618242,1,1468825200,
,,,,,,,,,
