alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.1,213.0,13714,0.9,1006190391,SP500_50,1006190176.0,1,1464332400
0.1,206.0,13715,0.9,1011186619,SP500_50,1011186411.0,1,1464678000
0.1,10658265.0,13716,0.9,1000920869,SP500_50,990255325.0,1,1464764400
0.1,10658330.0,13717,0.9,1005943662,SP500_50,995094006.0,1,1464850800
0.1,10658325.0,13718,0.9,1011813772,SP500_50,1000798450.0,1,1464937200
0.1,41045656.0,13719,0.9,1011422249,SP500_50,970215863.0,1,1465196400
0.1,41045537.0,13720,0.9,1026523381,SP500_50,985118179.0,1,1465282800
0.1,41045558.0,13721,0.9,1025177104,SP500_50,984060783.0,1,1465369200
0.1,38312118.0,13722,0.9,1031392617,SP500_50,993263709.0,1,1465455600
0.1,38312263.0,13723,0.9,1039956054,SP500_50,1001899694.0,1,1465542000
0.1,38312276.0,13724,0.9,1036276536,SP500_50,998582253.0,1,1465801200
0.1,487358834.0,13725,0.9,1041812178,SP500_50,553919089.0,1,1465887600
0.1,523010412.0,13726,0.9,1040020386,SP500_50,517028750.0,1,1465974000
0.1,480769535.0,13727,0.9,1048368589,SP500_50,561784066.0,1,1466060400
0.1,424636682.0,13728,0.9,1054537566,SP500_50,620967017.0,1,1466146800
0.1,424636629.0,13729,0.9,1055509995,SP500_50,621884540.0,1,1466406000
0.1,1143012.0,13730,0.9,1062915019,SP500_50,1050564182.0,1,1466492400
0.1,425832934.0,13731,0.9,1064774809,SP500_50,629811173.0,1,1466578800
0.1,482532387.0,13732,0.9,1078875508,SP500_50,581069758.0,1,1466665200
0.1,482532385.0,13733,0.9,1068655598,SP500_50,576074890.0,1,1466751600
0.1,51.0,13734,0.9,1074642139,SP500_50,1065066326.0,1,1467010800
0.1,19.0,13735,0.9,1078059464,SP500_50,1066622904.0,1,1467097200
0.1,4.0,13736,0.9,1088763794,SP500_50,1071292556.0,1,1467183600
0.1,1092962985.0,13737,0.9,1105473997,SP500_50,0.0,1,1467270000
0.1,74975628.0,13738,0.9,1112871811,SP500_50,1017442102.0,1,1467356400
0.1,74975585.0,13739,0.9,1112427854,SP500_50,1021459408.0,1,1467702000
0.1,74975678.0,13740,0.9,1113939185,SP500_50,1018255240.0,1,1467788400
0.1,74975627.0,13741,0.9,1096207299,SP500_50,1003135472.0,1,1467874800
0.1,146626200.0,13742,0.9,1106798909,SP500_50,942426429.0,1,1467961200
0.1,105044517.0,13743,0.9,1105905005,SP500_50,984173944.0,1,1468220400
0.1,64702225.0,13744,0.9,1102492703,SP500_50,1017318532.0,1,1468306800
0.1,64702225.0,13745,0.9,1110806746,SP500_50,1027868618.0,1,1468393200
0.1,64702225.0,13746,0.9,1112553582,SP500_50,1025927721.0,1,1468479600
0.1,64702281.0,13747,0.9,1114348372,SP500_50,1026036464.0,1,1468566000
0.1,64702281.0,13748,0.9,1114267041,SP500_50,1027061811.0,1,1468825200
0.1,64702281.0,13749,0.9,1110232803,SP500_50,1022436298.0,1,1468911600
0.1,64702337.0,13750,0.9,1109329489,SP500_50,1021666141.0,1,1468998000
0.1,16.0,13751,0.9,1104467990,SP500_50,1081659936.0,1,1469084400
0.1,16.0,13752,0.9,1119117311,SP500_50,1095611426.0,1,1469170800
0.1,106848567.0,13753,0.9,1114342198,SP500_50,983561037.0,1,1469430000
0.1,106848572.0,13754,0.9,1097764208,SP500_50,965586475.0,1,1469516400
0.1,91198553.0,13755,0.9,1104802688,SP500_50,987101582.0,1,1469602800
0.1,105265549.0,13756,0.9,1097480583,SP500_50,965422469.0,1,1469689200
0.1,65299.0,13757,0.9,1112026137,SP500_50,1080859797.0,1,1469775600
0.1,105112142.0,13758,0.9,1101351331,SP500_50,959602902.0,1,1470034800
0.1,91047894.0,13759,0.9,1095333635,SP500_50,964725562.0,1,1470121200
0.1,476937941.0,13760,0.9,1094418406,SP500_50,576203139.0,1,1470207600
0.1,40569549.0,13761,0.9,1093636843,SP500_50,1010935123.0,1,1470294000
0.1,66200143.0,13762,0.9,1091898914,SP500_50,979734006.0,1,1470380400
0.1,66200139.0,13763,0.9,1089855956,SP500_50,979383222.0,1,1470639600
0.1,27465337.0,13764,0.9,1092311890,SP500_50,1019174413.0,1,1470726000
0.1,40.0,13765,0.9,1095242035,SP500_50,1049526870.0,1,1470812400
0.1,52842.0,13766,0.9,1098004297,SP500_50,1050354250.0,1,1470898800
0.1,41117.0,13767,0.9,1093947760,SP500_50,1045967033.0,1,1470985200
0.1,15127771.0,13768,0.9,1090416526,SP500_50,1029726500.0,1,1471244400
0.1,15127820.0,13769,0.9,1068199579,SP500_50,1013227432.0,1,1471330800
0.1,52114824.0,13770,0.9,1069773763,SP500_50,982612000.0,1,1471417200
0.1,52114865.0,13771,0.9,1061319659,SP500_50,977346261.0,1,1471503600
0.1,15118867.0,13772,0.9,1052277609,SP500_50,1006568731.0,1,1471590000
0.1,14720124.0,13773,0.9,1052000925,SP500_50,1008888750.0,1,1471849200
0.1,52903903.0,13774,0.9,1052509686,SP500_50,973169544.0,1,1471935600
0.1,27046495.0,13775,0.9,1052195689,SP500_50,997392874.0,1,1472022000
0.1,14921643.0,13776,0.9,1056465572,SP500_50,1013329439.0,1,1472108400
0.1,27062452.0,13777,0.9,1045128487,SP500_50,988646571.0,1,1472194800
0.1,64809811.0,13778,0.9,1053224234,SP500_50,958646525.0,1,1472454000
0.1,18030394.0,13779,0.9,1049878068,SP500_50,1002087854.0,1,1472540400
0.1,68285527.0,13780,0.9,1049600565,SP500_50,952026454.0,1,1472626800
0.1,30221340.0,13781,0.9,1052400823,SP500_50,994048611.0,1,1472713200
0.1,154329.0,13782,0.9,1055593151,SP500_50,1030440551.0,1,1472799600
0.1,29243047.0,13783,0.9,1065128546,SP500_50,1012986193.0,1,1473145200
0.1,16841491.0,13784,0.9,1067712485,SP500_50,1029161019.0,1,1473231600
0.1,33.0,13785,0.9,1065740395,SP500_50,1044216486.0,1,1473318000
0.1,18416338.0,13786,0.9,1029308204,SP500_50,992357242.0,1,1473404400
0.1,65232452.0,13787,0.9,1049901648,SP500_50,959688655.0,1,1473663600
0.1,65232424.0,13788,0.9,1029189261,SP500_50,939148881.0,1,1473750000
0.1,65232452.0,13789,0.9,1028019468,SP500_50,939612882.0,1,1473836400
0.1,33428849.0,13790,0.9,1039163486,SP500_50,980742023.0,1,1473922800
0.1,29612233.0,13791,0.9,1034708772,SP500_50,982169558.0,1,1474009200
0.1,29612233.0,13792,0.9,1027789570,SP500_50,970811804.0,1,1474268400
0.1,17662598.0,13793,0.9,1025730786,SP500_50,982811686.0,1,1474354800
0.1,30.0,13794,0.9,1038821575,SP500_50,1011885943.0,1,1474441200
0.1,54293336.0,13795,0.9,1050461528,SP500_50,966404281.0,1,1474527600
0.1,19281541.0,13796,0.9,1054286421,SP500_50,1005321495.0,1,1474614000
0.1,31648107.0,13797,0.9,1048572012,SP500_50,985303954.0,1,1474873200
0.1,53776338.0,13798,0.9,1055540367,SP500_50,969431891.0,1,1474959600
0.1,66897017.0,13799,0.9,1038607642,SP500_50,949231407.0,1,1475046000
0.1,18633717.0,13800,0.9,1036367226,SP500_50,997684009.0,1,1475132400
0.1,37.0,13801,0.9,1033266850,SP500_50,1013411878.0,1,1475218800
0.1,10.0,13802,0.9,1034219714,SP500_50,1011595402.0,1,1475478000
0.1,10.0,13803,0.9,1017087739,SP500_50,999207895.0,1,1475564400
0.1,23089687.0,13804,0.9,1005275040,SP500_50,958405651.0,1,1475650800
0.1,23089687.0,13805,0.9,1004431528,SP500_50,958226002.0,1,1475737200
0.1,23089687.0,13806,0.9,1000449243,SP500_50,953450355.0,1,1475823600
0.1,74169.0,13807,0.9,1004553631,SP500_50,981617418.0,1,1476082800
0.1,26.0,13808,0.9,1002421988,SP500_50,975660158.0,1,1476169200
0.1,26.0,13809,0.9,1008096595,SP500_50,982902699.0,1,1476255600
0.1,26.0,13810,0.9,1008094548,SP500_50,982668007.0,1,1476342000
0.1,26.0,13811,0.9,1006779974,SP500_50,983181535.0,1,1476428400
0.1,23924028.0,13812,0.9,1008540225,SP500_50,961503561.0,1,1476687600
0.1,24637.0,13813,0.9,1010431188,SP500_50,984135418.0,1,1476774000
0.1,36.0,13814,0.9,1012475297,SP500_50,986969167.0,1,1476860400
0.1,3.0,13815,0.9,992375224,SP500_50,964404612.0,1,1476946800
0.1,851455079.0,13816,0.9,969690285,SP500_50,102139130.0,1,1477033200
0.1,53549091.0,13817,0.9,962197535,SP500_50,896778682.0,1,1477292400
0.1,69428943.0,13818,0.9,956849249,SP500_50,875015575.0,1,1477378800
0.1,860897568.0,13819,0.9,951337789,SP500_50,79248399.0,1,1477465200
0.1,902121061.0,13820,0.9,967594843,SP500_50,45203200.0,1,1477551600
0.1,35014647.0,13821,0.9,965148127,SP500_50,913453024.0,1,1477638000
0.1,18440316.0,13822,0.9,964868514,SP500_50,934639429.0,1,1477897200
0.1,18440292.0,13823,0.9,954587679,SP500_50,926245823.0,1,1477983600
0.1,18440363.0,13824,0.9,942500572,SP500_50,916522618.0,1,1478070000
0.1,2.0,13714,0.9,1010356334,SP500_50,1006190388.0,2,1464332400
0.1,530312314.0,13715,0.9,1015421522,SP500_50,478558923.0,2,1464678000
0.1,17879753.0,13716,0.9,1005112779,SP500_50,986354332.0,2,1464764400
0.1,484031497.0,13717,0.9,1010156607,SP500_50,529491383.0,2,1464850800
0.1,37.0,13718,0.9,1016051302,SP500_50,1014592038.0,2,1464937200
0.1,41100355.0,13719,0.9,1015658139,SP500_50,979307128.0,2,1465196400
0.1,31221275.0,13720,0.9,1030822516,SP500_50,1003194650.0,2,1465282800
0.1,14800.0,13721,0.9,1029470600,SP500_50,1036116088.0,2,1465369200
0.1,30974288.0,13722,0.9,1035712145,SP500_50,1010316319.0,2,1465455600
0.1,20.0,13723,0.9,1044311446,SP500_50,1047907209.0,2,1465542000
0.1,489952.0,13724,0.9,1040616518,SP500_50,1036407585.0,2,1465801200
0.1,554664538.0,13725,0.9,1046175343,SP500_50,480828304.0,2,1465887600
0.1,5.0,13726,0.9,1044376047,SP500_50,1046816943.0,2,1465974000
0.1,5.0,13727,0.9,1052759213,SP500_50,1049722134.0,2,1466060400
0.1,0.0,13728,0.9,1058954026,SP500_50,1056784482.0,2,1466146800
0.1,5.0,13729,0.9,1059930527,SP500_50,1059633886.0,2,1466406000
0.1,1279888.0,13730,0.9,1067366564,SP500_50,1068457807.0,2,1466492400
0.1,476799350.0,13731,0.9,1069234143,SP500_50,597182463.0,2,1466578800
0.1,476799296.0,13732,0.9,1083393897,SP500_50,605609540.0,2,1466665200
0.1,512744908.0,13733,0.9,1073131184,SP500_50,561724845.0,2,1466751600
0.1,27.0,13734,0.9,1079142798,SP500_50,1080752511.0,2,1467010800
0.1,3.0,13735,0.9,1082574435,SP500_50,1082332005.0,2,1467097200
0.1,3.0,13736,0.9,1093323595,SP500_50,1087070416.0,2,1467183600
0.1,860916.0,13737,0.9,1110103781,SP500_50,1108199085.0,2,1467270000
0.1,11770.0,13738,0.9,1117532578,SP500_50,1118745459.0,2,1467356400
0.1,8.0,13739,0.9,1117086761,SP500_50,1089473639.0,2,1467702000
0.1,22.0,13740,0.9,1118604422,SP500_50,1100897264.0,2,1467788400
0.1,885316.0,13741,0.9,1100798274,SP500_50,1102184274.0,2,1467874800
0.1,885260.0,13742,0.9,1111434242,SP500_50,1134898802.0,2,1467961200
0.1,9.0,13743,0.9,1110536595,SP500_50,1140296570.0,2,1468220400
0.1,9.0,13744,0.9,1107110001,SP500_50,1171300898.0,2,1468306800
0.1,9.0,13745,0.9,1115458864,SP500_50,1212628469.0,2,1468393200
0.1,9.0,13746,0.9,1117213016,SP500_50,1218021246.0,2,1468479600
0.1,9.0,13747,0.9,1119015322,SP500_50,1220389312.0,2,1468566000
0.1,3284.0,13748,0.9,1118933651,SP500_50,1221877968.0,2,1468825200
0.1,5319.0,13749,0.9,1114882517,SP500_50,1217132641.0,2,1468911600
0.1,1.0,13750,0.9,1113975420,SP500_50,1231562211.0,2,1468998000
0.1,17.0,13751,0.9,1109093561,SP500_50,1214138065.0,2,1469084400
0.1,1.0,13752,0.9,1123804234,SP500_50,1225557671.0,2,1469170800
0.1,3550.0,13753,0.9,1119009123,SP500_50,1208974049.0,2,1469430000
0.1,914420.0,13754,0.9,1102361703,SP500_50,1205050821.0,2,1469516400
0.1,13.0,13755,0.9,1109429661,SP500_50,1134083305.0,2,1469602800
0.1,18.0,13756,0.9,1102076890,SP500_50,1092180255.0,2,1469689200
0.1,1933971.0,13757,0.9,1116683362,SP500_50,1109087470.0,2,1469775600
0.1,14149321.0,13758,0.9,1105963849,SP500_50,1098898394.0,2,1470034800
0.1,1429330.0,13759,0.9,1099920950,SP500_50,1096433607.0,2,1470121200
0.1,26635.0,13760,0.9,1099001888,SP500_50,1095186743.0,2,1470207600
0.1,1082755447.0,13761,0.9,1098217053,SP500_50,0.0,2,1470294000
0.1,77503840.0,13762,0.9,1096471845,SP500_50,1004936726.0,2,1470380400
0.1,1006575377.0,13763,0.9,1094420331,SP500_50,73343030.0,2,1470639600
