alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.5,86293.0,13714,0.8,1006190391,SP500_50,1006525400.0,1,1464332400
0.5,946225347.0,13715,0.8,1011186619,SP500_50,60909442.0,1,1464678000
0.5,51.0,13716,0.8,1000920869,SP500_50,1006291907.0,1,1464764400
0.5,29717610.0,13717,0.8,1005943662,SP500_50,988302528.0,1,1464850800
0.5,25502085.0,13718,0.8,1011813772,SP500_50,993715149.0,1,1464937200
0.5,3306249.0,13719,0.8,1011422249,SP500_50,1028624236.0,1,1465196400
0.5,18.0,13720,0.8,1026523381,SP500_50,1037456233.0,1,1465282800
0.5,18.0,13721,0.8,1025177104,SP500_50,1039281363.0,1,1465369200
0.5,18.0,13722,0.8,1031392617,SP500_50,1045278220.0,1,1465455600
0.5,7.0,13723,0.8,1039956054,SP500_50,1055706211.0,1,1465542000
0.5,4424236.0,13724,0.8,1036276536,SP500_50,1050685604.0,1,1465801200
0.5,515617444.0,13725,0.8,1041812178,SP500_50,540844103.0,1,1465887600
0.5,2920667.0,13726,0.8,1040020386,SP500_50,1064431745.0,1,1465974000
0.5,2920667.0,13727,0.8,1048368589,SP500_50,1067496528.0,1,1466060400
0.5,4.0,13728,0.8,1054537566,SP500_50,1077754143.0,1,1466146800
0.5,0.0,13729,0.8,1055509995,SP500_50,1080444294.0,1,1466406000
0.5,12277658.0,13730,0.8,1062915019,SP500_50,1078514651.0,1,1466492400
0.5,420332710.0,13731,0.8,1064774809,SP500_50,673974189.0,1,1466578800
0.5,411102220.0,13732,0.8,1078875508,SP500_50,694575587.0,1,1466665200
0.5,21.0,13733,0.8,1068655598,SP500_50,1098047858.0,1,1466751600
0.5,42814816.0,13734,0.8,1074642139,SP500_50,1062442130.0,1,1467010800
0.5,58676863.0,13735,0.8,1078059464,SP500_50,1051299594.0,1,1467097200
0.5,257624728.0,13736,0.8,1088763794,SP500_50,871772686.0,1,1467183600
0.5,271356832.0,13737,0.8,1105473997,SP500_50,874985119.0,1,1467270000
0.5,15679217.0,13738,0.8,1112871811,SP500_50,1148174074.0,1,1467356400
0.5,27.0,13739,0.8,1112427854,SP500_50,1146612950.0,1,1467702000
0.5,15537615.0,13740,0.8,1113939185,SP500_50,1153256220.0,1,1467788400
0.5,7.0,13741,0.8,1096207299,SP500_50,1184884945.0,1,1467874800
0.5,1217086243.0,13742,0.8,1106798909,SP500_50,0.0,1,1467961200
0.5,16.0,13743,0.8,1105905005,SP500_50,1209436323.0,1,1468220400
0.5,644064468.0,13744,0.8,1102492703,SP500_50,592116776.0,1,1468306800
0.5,770782.0,13745,0.8,1110806746,SP500_50,1240183691.0,1,1468393200
0.5,770782.0,13746,0.8,1112553582,SP500_50,1251078567.0,1,1468479600
0.5,331367439.0,13747,0.8,1114348372,SP500_50,921477070.0,1,1468566000
0.5,1225194656.0,13748,0.8,1114267041,SP500_50,14036335.0,1,1468825200
0.5,308343550.0,13749,0.8,1110232803,SP500_50,927686742.0,1,1468911600
0.5,580992.0,13750,0.8,1109329489,SP500_50,1238382906.0,1,1468998000
0.5,13037324.0,13751,0.8,1104467990,SP500_50,1233445760.0,1,1469084400
0.5,16.0,13752,0.8,1119117311,SP500_50,1263617203.0,1,1469170800
0.5,1239309877.0,13753,0.8,1114342198,SP500_50,13847384.0,1,1469430000
0.5,314592072.0,13754,0.8,1097764208,SP500_50,935288884.0,1,1469516400
0.5,152568323.0,13755,0.8,1104802688,SP500_50,1100797546.0,1,1469602800
0.5,152568323.0,13756,0.8,1097480583,SP500_50,1098949649.0,1,1469689200
0.5,14000752.0,13757,0.8,1112026137,SP500_50,1253507866.0,1,1469775600
0.5,12049071.0,13758,0.8,1101351331,SP500_50,1273019102.0,1,1470034800
0.5,12049071.0,13759,0.8,1095333635,SP500_50,1244778721.0,1,1470121200
0.5,627206.0,13760,0.8,1094418406,SP500_50,1258439136.0,1,1470207600
0.5,23.0,13761,0.8,1093636843,SP500_50,1239873891.0,1,1470294000
0.5,23.0,13762,0.8,1091898914,SP500_50,1247214916.0,1,1470380400
0.5,23.0,13763,0.8,1089855956,SP500_50,1267466021.0,1,1470639600
0.5,23.0,13764,0.8,1092311890,SP500_50,1269491132.0,1,1470726000
0.5,23.0,13765,0.8,1095242035,SP500_50,1272022520.0,1,1470812400
0.5,23.0,13766,0.8,1098004297,SP500_50,1269237993.0,1,1470898800
0.5,23.0,13767,0.8,1093947760,SP500_50,1258859302.0,1,1470985200
0.5,2542302.0,13768,0.8,1090416526,SP500_50,1245726202.0,1,1471244400
0.5,5685089.0,13769,0.8,1068199579,SP500_50,1229468529.0,1,1471330800
0.5,574256233.0,13770,0.8,1069773763,SP500_50,659184144.0,1,1471417200
0.5,31502752.0,13771,0.8,1061319659,SP500_50,1194974289.0,1,1471503600
0.5,494301787.0,13772,0.8,1052277609,SP500_50,721818851.0,1,1471590000
0.5,985719.0,13773,0.8,1052000925,SP500_50,1214141773.0,1,1471849200
0.5,61805242.0,13774,0.8,1052509686,SP500_50,1154123253.0,1,1471935600
0.5,29.0,13775,0.8,1052195689,SP500_50,1217006376.0,1,1472022000
0.5,550302221.0,13776,0.8,1056465572,SP500_50,670693087.0,1,1472108400
0.5,2555953.0,13777,0.8,1045128487,SP500_50,1212835425.0,1,1472194800
0.5,676119689.0,13778,0.8,1053224234,SP500_50,546752692.0,1,1472454000
0.5,563318295.0,13779,0.8,1049878068,SP500_50,658072726.0,1,1472540400
0.5,32739831.0,13780,0.8,1049600565,SP500_50,1193795487.0,1,1472626800
0.5,1072223984.0,13781,0.8,1052400823,SP500_50,156479781.0,1,1472713200
0.5,35799268.0,13782,0.8,1055593151,SP500_50,1192786018.0,1,1472799600
0.5,577484991.0,13783,0.8,1065128546,SP500_50,656232415.0,1,1473145200
0.5,1236385214.0,13784,0.8,1067712485,SP500_50,0.0,1,1473231600
0.5,41.0,13785,0.8,1065740395,SP500_50,1243042530.0,1,1473318000
