action,reward,state,ticker,time
-1,8.0,1331,CTL,1478050123
-1,8.0,1111,LVLT,1478050123
-1,8.0,1331,T,1478050123
1,88.0,3331,VZ,1478050123
-1,88.0,1111,UAL,1478050130
-1,88.0,1331,WM,1478050130
1,88.0,1131,GE,1478050130
-1,8.0,1111,MAS,1478050130
-1,8.0,3331,NOC,1478050130
-1,8.0,1311,JEC,1478050131
-1,8.0,3131,ALK,1478050131
-1,88.0,3331,LMT,1478050131
-1,8.0,3331,MMM,1478050131
1,88.0,3331,KSU,1478050131
-1,8.0,1111,EXPD,1478050132
-1,8.0,3331,UNP,1478050132
-1,8.0,3331,R,1478050132
-1,8.0,3331,DE,1478050132
-1,8.0,1131,EMR,1478050132
-1,8.0,3331,GWW,1478050133
-1,8.0,1311,ETN,1478050133
-1,8.0,1131,COL,1478050133
-1,8.0,3131,AAL,1478050133
-1,8.0,3331,TDG,1478050133
-1,8.0,3311,UTX,1478050133
-1,8.0,3111,FLS,1478050134
-1,8.0,1311,FLR,1478050134
-1,8.0,3331,DOV,1478050134
-1,8.0,3111,AME,1478050134
-1,8.0,1111,LLL,1478050134
-1,8.0,1131,ROP,1478050134
-1,8.0,3131,SIG,1478050149
-1,8.0,1111,JWN,1478050149
-1,8.0,1331,GT,1478050149
-1,8.0,1311,MAR,1478050149
-1,8.0,1331,SNA,1478050149
-1,8.0,3131,CMG,1478050149
-1,8.0,3311,GRMN,1478050150
-1,8.0,1311,BBBY,1478050150
-1,8.0,1111,F,1478050150
-1,8.0,1131,LB,1478050150
-1,8.0,3311,VFC,1478050150
-1,8.0,1111,GM,1478050150
-1,8.0,1131,RL,1478050151
-1,88.0,3331,CHTR,1478050151
-1,8.0,3331,ORLY,1478050151
-1,8.0,3311,BBY,1478050151
-1,8.0,3111,OMC,1478050151
-1,8.0,1331,EXPE,1478050151
-1,8.0,1331,SWK,1478050152
1,88.0,1131,WYNN,1478050152
-1,8.0,3331,AAP,1478050152
-1,8.0,3111,TGT,1478050152
-1,8.0,3311,M,1478050152
-1,8.0,3331,MCD,1478050152
-1,8.0,3331,SPLS,1478050152
-1,8.0,3131,GPC,1478050152
-1,8.0,1111,HAS,1478050152
-1,8.0,1331,GPS,1478050152
-1,8.0,3311,PHM,1478050153
-1,8.0,3331,FOX,1478050153
-1,8.0,1331,ULTA,1478050153
-1,8.0,3111,KMX,1478050153
-1,8.0,3331,LOW,1478050153
-1,8.0,3331,DIS,1478050154
-1,8.0,3311,DRI,1478050154
-1,8.0,1311,CCL,1478050154
-1,8.0,1311,TIF,1478050154
-1,8.0,3131,LKQ,1478050154
-1,8.0,3111,DHI,1478050154
-1,8.0,1311,UA,1478050154
-1,8.0,3331,VIAB,1478050154
-1,8.0,3111,LEN,1478050154
-1,8.0,1131,AN,1478050155
-1,8.0,3311,NKE,1478050155
-1,8.0,3111,PCG,1478050160
-1,8.0,3331,SO,1478050160
-1,8.0,3311,WEC,1478050160
-1,8.0,3311,PNW,1478050160
-1,8.0,1111,EXC,1478050160
1,88.0,3311,ETR,1478050161
-1,8.0,3331,NEE,1478050161
-1,8.0,3131,EIX,1478050161
-1,8.0,3331,GIS,1478050167
-1,8.0,3131,MJN,1478050168
1,88.0,1131,TSN,1478050168
-1,8.0,3331,K,1478050168
-1,88.0,3131,DPS,1478050168
-1,8.0,3331,RAI,1478050168
-1,8.0,3111,BFB,1478050168
-1,8.0,1331,HRL,1478050168
-1,8.0,3131,SYY,1478050169
-1,8.0,3311,PG,1478050169
-1,8.0,3331,PM,1478050169
-1,8.0,3311,CL,1478050169
-1,8.0,3331,CHD,1478050169
-1,8.0,3331,MNST,1478050170
-1,8.0,1131,WMT,1478050170
-1,8.0,3311,MDLZ,1478050170
-1,88.0,3111,AGN,1478050179
-1,88.0,3311,VRTX,1478050179
-1,8.0,3111,ENDP,1478050180
-1,8.0,3111,XRAY,1478050180
-1,8.0,3331,HUM,1478050180
-1,88.0,3131,PRGO,1478050180
-1,8.0,1311,UHS,1478050180
-1,8.0,3111,AMGN,1478050180
-1,8.0,3331,MDT,1478050180
-1,8.0,1331,BAX,1478050181
-1,8.0,1331,LH,1478050181
-1,88.0,3331,CELG,1478050181
-1,8.0,1331,A,1478050181
-1,8.0,1111,ABC,1478050181
-1,8.0,1131,STJ,1478050181
-1,88.0,1111,CERN,1478050181
-1,8.0,3331,BMY,1478050181
-1,8.0,3111,MTD,1478050182
-1,8.0,3311,UNH,1478050182
-1,8.0,3331,ALXN,1478050182
-1,8.0,1111,MCK,1478050182
-1,8.0,3331,SYK,1478050182
-1,8.0,3331,AET,1478050182
1,88.0,1131,ESRX,1478050182
-1,8.0,3311,DVA,1478050182
-1,8.0,1111,PDCO,1478050183
-1,8.0,3331,HSIC,1478050183
-1,8.0,3331,TMO,1478050183
-1,8.0,1331,GILD,1478050183
-1,8.0,3331,ISRG,1478050184
-1,8.0,1111,ALB,1478050188
-1,8.0,1111,DOW,1478050189
-1,8.0,3331,AVY,1478050189
-1,8.0,3331,SHW,1478050189
-1,8.0,3331,ECL,1478050189
-1,8.0,3131,SEE,1478050189
-1,8.0,3131,MLM,1478050190
-1,8.0,3311,PX,1478050190
-1,8.0,1311,MON,1478050190
-1,8.0,1331,CF,1478050190
-1,8.0,3331,PPG,1478050190
-1,8.0,1331,IP,1478050190
-1,8.0,3331,LYB,1478050190
-1,8.0,1311,OI,1478050190
1,88.0,1111,AA,1478050190
-1,8.0,1331,FSLR,1478050196
-1,8.0,3311,MU,1478050196
-1,8.0,1131,JNPR,1478050197
-1,8.0,1311,ADBE,1478050197
-1,8.0,3311,IBM,1478050197
-1,8.0,3311,STX,1478050197
-1,8.0,3311,PAYX,1478050198
-1,8.0,3311,EQIX,1478050198
-1,8.0,3111,XLNX,1478050198
-1,8.0,1311,KLAC,1478050198
-1,8.0,3111,TSS,1478050198
-1,88.0,1111,ATVI,1478050198
-1,8.0,1111,INTC,1478050198
1,88.0,1311,NFLX,1478050198
-1,8.0,3311,AAPL,1478050199
-1,8.0,3131,WU,1478050199
-1,8.0,3131,CTSH,1478050199
-1,8.0,3311,GPN,1478050199
-1,8.0,1311,CTXS,1478050199
-1,8.0,3311,AMAT,1478050199
-1,88.0,1111,SWKS,1478050199
-1,8.0,1311,CRM,1478050199
-1,8.0,3331,QCOM,1478050199
-1,8.0,1111,FISV,1478050199
-1,8.0,1111,CA,1478050200
-1,8.0,1111,TDC,1478050200
-1,8.0,3111,HPQ,1478050200
-1,88.0,3311,WDC,1478050200
-1,8.0,3331,VRSN,1478050200
-1,8.0,1311,LRCX,1478050200
-1,8.0,1111,TEL,1478050200
-1,8.0,1111,LLTC,1478050200
-1,8.0,3111,ADI,1478050201
-1,8.0,3311,MSI,1478050201
-1,8.0,3231,VLO,1478050205
