action,reward,state,ticker
-1,-32.7416078336,1331,77
-1,8.0,1111,288
-1,8.0,1331,389
1,144.3742260704911,3331,408
-1,86.14553599999998,1111,10
-1,143.3472,1331,11
1,59.73153997057486,1131,20
-1,10.995199999999997,1111,25
-1,8.0,3331,65
-1,8.0,1311,93
-1,-64.889109577728,3131,100
-1,14.48177070899198,3331,101
-1,8.0,3331,102
1,-63.61952665600001,3331,168
-1,26.761290662763933,1111,207
-1,8.0,3331,208
-1,8.0,3331,213
-1,81.3952,3331,236
-1,8.0,1131,306
-1,8.0,3331,334
-1,8.0,1311,340
-1,8.0,1131,341
-1,40.04791727894717,3131,346
-1,8.0,3331,356
-1,8.0,3311,384
-1,8.0,3111,418
-1,8.0,1311,419
-1,8.0,3331,427
-1,-84.74641264041841,3111,429
-1,8.0,1111,433
-1,8.0,1131,434
-1,8.0,3131,4
-1,8.0,1111,5
-1,8.0,1331,14
-1,72.832971800576,1311,26
-1,8.0,1331,28
-1,-2.010216713649392,3131,39
-1,76.28044288,3311,50
-1,-69.00480000000002,1311,89
-1,-86.33024921600001,1111,91
-1,-36.82328468337459,1131,116
-1,8.0,3311,141
-1,-32.96000000000001,1111,142
-1,8.0,1131,147
-1,44.256071679999984,3331,174
-1,-28.982784000000002,3331,187
-1,-38.77222400000001,3311,216
-1,-100.72422400000002,3111,221
-1,8.0,1331,226
-1,8.0,1331,230
1,142.1467246592,1131,232
-1,-32.96000000000001,3331,237
-1,91.43808000000001,3111,239
-1,-61.41427449011896,3311,247
-1,41.227776,3331,257
-1,8.0,3331,271
-1,-26.560000000000002,3131,284
-1,184.62454154138243,1111,286
-1,8.0,1331,289
-1,-32.96000000000001,3311,292
-1,8.0,3331,318
-1,62.1171702693888,1331,322
-1,4.159712854016,3111,343
-1,41.227776,3331,369
-1,-32.96000000000001,3331,372
-1,8.0,3311,394
-1,56.116757456436076,1311,395
-1,13.067776000000002,1311,397
-1,8.0,3131,423
-1,8.0,3111,426
-1,17.88415051431936,1311,447
-1,-26.560000000000002,3331,467
-1,1.3951999999999956,3111,470
-1,41.227776,1131,491
-1,8.0,3311,498
-1,8.0,3111,44
-1,43.593216000000005,3331,103
-1,54.91196936192,3311,106
-1,8.0,3311,137
-1,8.0,1111,263
1,96.36904787186742,3311,328
-1,8.0,3331,450
-1,8.0,3131,484
-1,8.0,3331,15
-1,-32.736849920000004,3131,17
1,-55.70249827319718,1131,34
-1,-32.96000000000001,3331,53
-1,86.14553599999998,3131,78
-1,8.0,3331,144
-1,-33.0368,3111,148
-1,8.0,1331,154
-1,8.0,3131,296
-1,8.0,3311,312
-1,8.0,3331,314
-1,-69.00480000000002,3311,359
-1,-0.24618503372800404,3331,370
-1,8.0,3331,374
-1,8.0,1131,407
-1,1.3951999999999956,3311,446
-1,143.3472,3111,1
-1,114.68491125514113,3311,8
-1,8.0,3111,13
-1,17.832979929497604,3111,30
-1,8.0,3331,46
-1,73.18508253467157,3131,63
-1,8.0,1311,69
-1,2.7921997823999973,3111,73
-1,8.0,3331,90
-1,61.589803655205365,1331,110
-1,8.0,1331,118
-1,143.3472,3331,121
-1,8.0,1331,123
-1,-87.20384000000001,1111,124
-1,-74.11955712,1131,127
-1,36.601827023912946,1111,134
-1,23.0272,3331,179
-1,8.0,3111,202
-1,7.872,3311,218
-1,-7.807303151475708,3331,250
-1,8.0,1111,256
-1,8.0,3331,293
-1,-32.96000000000001,3331,299
1,161.71776,1131,302
-1,73.3225833517163,3311,332
-1,8.0,1111,362
-1,2.5113599999999963,3331,403
-1,8.0,3331,436
-1,-98.55211029674956,1331,462
-1,8.0,3331,496
-1,27.126789734399992,1111,40
-1,-32.96000000000001,1111,80
-1,8.0,3331,97
-1,-32.96000000000001,3331,184
-1,-32.96000000000001,3331,200
-1,-32.96000000000001,3131,201
-1,8.0,3131,248
-1,-33.74848000000001,3311,311
-1,-69.00480000000002,1311,326
-1,8.0,1331,351
-1,8.0,3331,373
-1,8.0,1331,378
-1,41.43149101606924,3331,401
-1,8.0,1311,413
1,-87.1612725056766,1111,417
-1,8.0,1331,49
-1,8.0,3311,66
-1,8.0,1131,104
-1,-64.00784350360729,1311,107
-1,67.98451341131776,3311,108
-1,8.0,3311,131
-1,8.0,3311,182
-1,8.0,3311,191
-1,8.0,3111,225
-1,8.0,1311,229
-1,8.0,3111,242
-1,65.93527367991294,1111,243
-1,19.230091756843606,1111,245
1,68.42566597017598,1311,262
-1,-6.968969772400648,3311,264
-1,8.0,3131,266
-1,8.0,3131,278
-1,8.0,3311,279
-1,-33.0368,1311,287
-1,8.0,3311,303
-1,163.2696828290276,1111,304
-1,8.0,1311,309
-1,8.0,3331,320
-1,-34.825210265600006,1111,335
-1,8.0,1111,350
-1,8.0,1111,355
-1,20.780235828756474,3111,379
-1,30.166578462719983,3311,390
-1,8.0,3331,411
-1,8.0,1311,438
-1,8.0,1111,453
-1,8.0,1111,458
-1,8.0,3111,466
-1,32.71964672,3311,475
-1,8.0,3231,45
-1,8.0,1331,60
-1,8.0,1111,151
-1,8.0,1331,166
-1,8.0,3131,183
1,183.15099658104344,1111,209
-1,8.0,1111,233
-1,8.0,1111,274
-1,106.20807167999999,1111,283
-1,8.0,1311,330
-1,8.0,3111,409
-1,-69.00480000000002,1131,410
-1,8.0,3111,416
-1,8.0,3331,444
-1,8.0,1111,454
-1,8.0,3331,457
-1,8.0,3111,468
-1,-32.76560243595674,3311,483
1,43.29017120382622,1331,12
-1,8.0,3331,31
-1,8.0,3131,36
-1,8.0,1111,41
-1,8.0,3331,57
-1,-34.825210265600006,3311,59
1,118.75344286875648,3111,62
-1,8.0,3131,70
-1,8.0,3311,83
-1,8.0,3131,85
-1,-24.33440282968064,1311,92
1,37.44,3311,99
-1,-58.237317120000014,3111,105
1,106.20807167999999,3331,113
1,37.3632,1111,114
-1,-56.01515520000001,1111,117
-1,-38.77222400000001,1311,119
-1,8.0,3311,120
-1,8.0,1131,125
1,166.145536,1131,126
1,75.31775999999998,1131,128
1,219.39953070899202,1331,133
-1,-32.96000000000001,3331,139
1,56.160768,1111,143
-1,8.0,1131,145
-1,8.0,1331,146
1,92.8755940047828,3331,157
-1,8.0,3131,158
1,218.58922970282737,3331,172
-1,41.227776,3331,188
1,59.63633325375488,3111,197
1,77.55250151966584,3331,206
-1,8.0,3111,210
-1,-33.07264000000001,3111,212
-1,-35.04384,1331,215
-1,-32.432640000000006,3331,217
-1,-38.77222400000001,3331,219
1,56.14906720255999,3131,220
1,-6.284800000000004,3131,227
-1,8.0,3131,240
-1,58.1387242110976,3111,254
1,121.75616,1311,255
-1,8.0,3331,259
-1,-38.77222400000001,3331,260
-1,-28.464639999999996,1131,261
-1,-38.77222400000001,3311,267
1,-7.052800000000005,3331,268
-1,8.0,1331,269
1,201.86524639286603,3331,273
-1,1.3951999999999956,3331,281
-1,-38.77222400000001,1111,282
-1,8.0,3111,295
1,-36.9711074810232,1131,301
-1,8.0,3331,315
1,26.510371633573506,3131,316
1,-20.61465600000001,1131,337
-1,-14.222556233728007,3111,349
-1,8.0,3131,358
-1,8.0,1131,365
-1,-32.96000000000001,3131,371
-1,8.0,1111,377
1,-29.617120994543157,1111,381
1,135.36,3131,393
1,-7.052800000000005,3311,396
-1,8.0,3331,414
1,63.347199999999994,1111,415
-1,8.0,3311,420
-1,8.0,3311,435
-1,8.0,3311,437
-1,76.28044288,3331,439
-1,-33.5488,1131,443
1,160.79906979839998,3331,448
